time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2008-01-01,-3.625,38.625,1.6265017,0.00594767,6.938894e-18,0.23759547,15.159671505292255
2008-01-02,-3.625,38.625,0.46011108,12.292146,3.1189468e-06,0.2554957,15.09805796322999
2008-01-03,-3.625,38.625,2.4940145,12.748878,3.8207672e-06,0.29757413,15.036444421167726
2008-01-04,-3.625,38.625,1.1900134,0.7674296,1.05499865e-07,0.30692396,14.974830879105461
2008-01-05,-3.625,38.625,2.7419262,0.7709782,1.5712168e-07,0.30692536,14.913217337043196
2008-01-06,-3.625,38.625,2.0045607,0.93650115,1.8214969e-07,0.30802912,14.851603794980932
2008-01-07,-3.625,38.625,2.2578416,0.008756493,6.938894e-18,0.30645794,14.789990252918667
2008-01-08,-3.625,38.625,2.1209776,0.007600203,6.938894e-18,0.30126357,14.728376710856402
2008-01-09,-3.625,38.625,2.1611712,0.042939276,6.938894e-18,0.2980337,14.666763168794137
2008-01-10,-3.625,38.625,1.7879817,0.062772095,6.938894e-18,0.29466784,14.961735966304937
2008-01-11,-3.625,38.625,0.72405803,2.992702,7.6509286e-07,0.29939723,15.256708763815737
2008-01-12,-3.625,38.625,1.2424036,-1.6653345e-13,6.938894e-18,0.29885393,15.55168156132654
2008-01-13,-3.625,38.625,3.4469755,0.0137068415,6.938894e-18,0.29358158,15.84665435883734
2008-01-14,-3.625,38.625,3.0095356,7.0933633,2.416942e-06,0.3038391,16.14162715634814
2008-01-15,-3.625,38.625,1.0911419,0.036175013,6.938894e-18,0.3078422,16.43659995385894
2008-01-16,-3.625,38.625,2.2587378,1.228724,1.1279869e-07,0.30988106,16.73157275136974
2008-01-17,-3.625,38.625,1.5488423,0.021637067,6.938894e-18,0.30531242,17.02654554888054
2008-01-18,-3.625,38.625,3.6793833,0.041797493,6.938894e-18,0.3016503,17.189547695495463
2008-01-19,-3.625,38.625,2.9257245,-1.6653345e-13,6.938894e-18,0.2961297,17.352549842110385
2008-01-20,-3.625,38.625,2.9285376,-1.6653345e-13,6.938894e-18,0.2919796,17.51555198872531
2008-01-21,-3.625,38.625,2.836238,-1.6653345e-13,6.938894e-18,0.28823346,17.67855413534023
2008-01-22,-3.625,38.625,2.699854,-1.6653345e-13,6.938894e-18,0.28456777,17.841556281955153
2008-01-23,-3.625,38.625,2.7634919,-1.6653345e-13,6.938894e-18,0.27975208,18.00455842857008
2008-01-24,-3.625,38.625,3.075812,-1.6653345e-13,6.938894e-18,0.27487475,18.167560575185
2008-01-25,-3.625,38.625,2.761894,-1.6653345e-13,6.938894e-18,0.27062458,18.33056272179992
2008-01-26,-3.625,38.625,1.5788049,0.00033002323,6.938894e-18,0.26606297,18.627864515615833
2008-01-27,-3.625,38.625,2.9148178,-1.6653345e-13,6.938894e-18,0.26217815,18.92516630943175
2008-01-28,-3.625,38.625,2.9636881,-1.6653345e-13,6.938894e-18,0.25845116,19.22246810324766
2008-01-29,-3.625,38.625,3.1724162,-1.6653345e-13,6.938894e-18,0.25385076,19.519769897063576
2008-01-30,-3.625,38.625,3.3238454,-1.6653345e-13,6.938894e-18,0.25112838,19.817071690879487
2008-01-31,-3.625,38.625,3.451083,-1.6653345e-13,6.938894e-18,0.24592045,20.1143734846954
2008-02-01,-3.625,38.625,2.9034307,0.0031864746,0.0,0.24400385,20.411675278511314
2008-02-02,-3.625,38.625,0.35560137,0.3276367,0.0,0.24440949,20.708977072327226
2008-02-03,-3.625,38.625,3.0275428,0.8926528,4.5258545e-07,0.24858835,21.08971864261009
2008-02-04,-3.625,38.625,2.576257,1.9739527,3.9154227e-07,0.25496992,21.470460212892956
2008-02-05,-3.625,38.625,4.1537595,1.6653345e-13,0.0,0.25544965,21.85120178317582
2008-02-06,-3.625,38.625,3.9253976,1.6653345e-13,0.0,0.25055045,22.23194335345869
2008-02-07,-3.625,38.625,3.8723452,1.6653345e-13,0.0,0.24596946,22.612684923741554
2008-02-08,-3.625,38.625,3.6896167,1.6653345e-13,0.0,0.24125779,22.99342649402442
2008-02-09,-3.625,38.625,3.6084328,1.6653345e-13,0.0,0.23712555,23.374168064307284
2008-02-10,-3.625,38.625,3.578694,1.6653345e-13,0.0,0.23114717,23.75490963459015
2008-02-11,-3.625,38.625,3.8380976,1.6653345e-13,0.0,0.22822031,23.569005920931144
2008-02-12,-3.625,38.625,4.2733593,1.6653345e-13,0.0,0.2223328,23.38310220727214
2008-02-13,-3.625,38.625,3.7630982,1.6653345e-13,0.0,0.22016725,23.197198493613136
2008-02-14,-3.625,38.625,3.9736624,0.013812374,0.0,0.21931967,23.011294779954135
2008-02-15,-3.625,38.625,2.9510376,0.069932036,0.0,0.21851268,22.82539106629513
2008-02-16,-3.625,38.625,5.4639587,1.6653345e-13,0.0,0.21730205,22.639487352636124
2008-02-17,-3.625,38.625,2.4061093,0.85779524,1.9265148e-07,0.2174565,22.453583638977122
2008-02-18,-3.625,38.625,4.90378,4.513332,1.0753445e-06,0.22782615,22.267679925318117
2008-02-19,-3.625,38.625,3.0389166,15.856883,4.1062694e-06,0.25760335,23.033643072402036
2008-02-20,-3.625,38.625,3.79855,3.1995559,6.49346e-07,0.29168263,23.799606219485952
2008-02-21,-3.625,38.625,4.722728,0.26704183,0.0,0.29126024,24.56556936656987
2008-02-22,-3.625,38.625,5.9428177,1.6653345e-13,0.0,0.28334343,25.33153251365379
2008-02-23,-3.625,38.625,3.8442583,0.80305123,1.2143444e-07,0.27881283,26.097495660737707
2008-02-24,-3.625,38.625,4.7688704,3.4638593,8.8449724e-07,0.28444827,26.863458807821626
