time,longitude,latitude,snr_[MJ/m2],tp_[mm]
2010-01-01,8.125,48.125,-0.55110174,5.985659
2010-01-02,8.125,48.125,-1.4324315,2.7104626
2010-01-03,8.125,48.125,-1.4624797,0.040165193
2010-01-04,8.125,48.125,-1.1046829,0.09420655
2010-01-05,8.125,48.125,-1.1319427,0.05339976
2010-01-06,8.125,48.125,-0.35309625,1.2823544
2010-01-07,8.125,48.125,-0.84019417,0.23472361
2010-01-08,8.125,48.125,0.0056398762,5.0933795
2010-01-09,8.125,48.125,0.29325104,3.7906733
2010-01-10,8.125,48.125,0.018075107,1.0945146
2010-01-11,8.125,48.125,0.12116067,1.1977623
2010-01-12,8.125,48.125,-0.8614346,0.56562436
2010-01-13,8.125,48.125,0.21644849,3.1694086
2010-01-14,8.125,48.125,-1.5755883,0.004417891
2010-01-15,8.125,48.125,-1.3661743,0.0013379061
2010-01-16,8.125,48.125,0.101009525,3.8201318
2010-01-17,8.125,48.125,-0.33063853,8.730966
2010-01-18,8.125,48.125,-0.06687468,0.4431079
2010-01-19,8.125,48.125,0.053453427,0.0010266616
2010-01-20,8.125,48.125,0.33034262,1.3267031
2010-01-21,8.125,48.125,1.0066534,4.127746
2010-01-22,8.125,48.125,0.25042227,0.035250194
2010-01-23,8.125,48.125,-0.7610311,0.0
2010-01-24,8.125,48.125,0.5457101,3.9928381
2010-01-25,8.125,48.125,1.1443795,4.0377083
2010-01-26,8.125,48.125,-0.24738362,1.117858
2010-01-27,8.125,48.125,0.80035055,0.035375588
2010-01-28,8.125,48.125,1.073674,9.249579
2010-01-29,8.125,48.125,0.34921193,9.915951
2010-01-30,8.125,48.125,-0.29332697,5.0414467
2010-01-31,8.125,48.125,-0.90304554,1.9781483
2010-02-01,8.125,48.125,-1.2116065,3.2675683
2010-02-02,8.125,48.125,0.5914855,3.0836713
2010-02-03,8.125,48.125,0.6667142,15.2277565
2010-02-04,8.125,48.125,-0.3934428,0.023865383
2010-02-05,8.125,48.125,1.123937,10.191331
2010-02-06,8.125,48.125,2.0931163,0.13302109
2010-02-07,8.125,48.125,1.0767833,0.2836742
2010-02-08,8.125,48.125,0.6895445,0.0
2010-02-09,8.125,48.125,1.9763604,1.1672262
2010-02-10,8.125,48.125,1.1867958,2.025484
2010-02-11,8.125,48.125,0.9119759,4.394774
2010-02-12,8.125,48.125,1.5826948,2.329513
2010-02-13,8.125,48.125,1.1475765,0.17738684
2010-02-14,8.125,48.125,1.2338705,0.43463802
2010-02-15,8.125,48.125,1.2493646,0.05100699
2010-02-16,8.125,48.125,0.61625713,0.0
2010-02-17,8.125,48.125,0.90188307,2.888947
2010-02-18,8.125,48.125,1.2359257,2.8666825
2010-02-19,8.125,48.125,0.44357908,5.453232
2010-02-20,8.125,48.125,2.8229215,1.6450714
2010-02-21,8.125,48.125,2.3719387,1.4890302
2010-02-22,8.125,48.125,2.6000998,3.9621117
2010-02-23,8.125,48.125,1.4841669,4.5926723
2010-02-24,8.125,48.125,2.414427,1.6087399
2010-02-25,8.125,48.125,2.4073408,4.4828076
2010-02-26,8.125,48.125,2.589646,7.936305
2010-02-27,8.125,48.125,4.428862,0.6309897
2010-02-28,8.125,48.125,4.9241004,1.2335128
2010-03-01,8.125,48.125,5.022647,0.06060891
2010-03-02,8.125,48.125,1.8591369,4.9495964
2010-03-03,8.125,48.125,3.5124686,0.0
2010-03-04,8.125,48.125,2.8624508,0.0
2010-03-05,8.125,48.125,3.3434486,0.21180716
2010-03-06,8.125,48.125,2.156718,10.723128
2010-03-07,8.125,48.125,2.1254401,0.018576732
2010-03-08,8.125,48.125,1.1161337,0.0
2010-03-09,8.125,48.125,2.6526794,0.3605258
2010-03-10,8.125,48.125,3.1046116,0.42279252
2010-03-11,8.125,48.125,1.9305723,6.2467175
2010-03-12,8.125,48.125,3.470792,0.0038280766
2010-03-13,8.125,48.125,3.7881267,0.34389043
2010-03-14,8.125,48.125,3.1975937,1.200972
2010-03-15,8.125,48.125,5.0742936,4.1038303
2010-03-16,8.125,48.125,4.7887764,6.899474
2010-03-17,8.125,48.125,6.0963244,0.0
2010-03-18,8.125,48.125,6.3163533,0.0
2010-03-19,8.125,48.125,7.1172724,0.034802902
2010-03-20,8.125,48.125,5.480579,6.0026565
2010-03-21,8.125,48.125,3.6931088,6.4621487
2010-03-22,8.125,48.125,6.3133545,0.1085346
2010-03-23,8.125,48.125,8.053908,0.0
2010-03-24,8.125,48.125,8.066222,0.004987364
2010-03-25,8.125,48.125,7.2574053,0.3833856
2010-03-26,8.125,48.125,2.2747278,7.8434277
2010-03-27,8.125,48.125,4.9747834,7.709261
2010-03-28,8.125,48.125,5.998773,7.7244782
2010-03-29,8.125,48.125,7.7350917,1.8459352
2010-03-30,8.125,48.125,5.8688993,4.706982
2010-03-31,8.125,48.125,8.847088,1.9251449
2010-04-01,8.125,48.125,7.797073,5.484092
2010-04-02,8.125,48.125,8.746851,1.8788242
2010-04-03,8.125,48.125,5.5577593,6.8728476
2010-04-04,8.125,48.125,6.467063,1.2363935
2010-04-05,8.125,48.125,8.282453,0.75091904
2010-04-06,8.125,48.125,10.504395,0.0
2010-04-07,8.125,48.125,10.866207,0.0
2010-04-08,8.125,48.125,7.020479,0.149671
2010-04-09,8.125,48.125,6.2142677,0.1306683
2010-04-10,8.125,48.125,6.566056,0.31485748
2010-04-11,8.125,48.125,9.792915,4.038234
2010-04-12,8.125,48.125,7.764726,0.57924396
2010-04-13,8.125,48.125,8.485251,1.1063421
2010-04-14,8.125,48.125,6.9502134,4.4369473
2010-04-15,8.125,48.125,9.873689,1.1376902
2010-04-16,8.125,48.125,5.690278,0.45962715
